"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"1999"	"1999"	37	28101	131.7
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2000"	"2000"	31	32710	94.8
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2001"	"2001"	56	37034	151.2
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2002"	"2002"	71	40803	174.0
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2003"	"2003"	56	44927	124.6
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2004"	"2004"	63	49391	127.6
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2005"	"2005"	91	54551	166.8
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2006"	"2006"	68	60364	112.6
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2007"	"2007"	93	66377	140.1
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2008"	"2008"	93	72259	128.7
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2009"	"2009"	108	77734	138.9
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2010"	"2010"	91	81819	111.2
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2011"	"2011"	111	85123	130.4
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2012"	"2012"	105	86504	121.4
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2013"	"2013"	120	88338	135.8
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2014"	"2014"	128	90287	141.8
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2015"	"2015"	130	92587	140.4
	"Alabama"	"01"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"2016"	"2016"	129	95153	135.6
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"1999"	"1999"	22559	2265158	995.9
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2000"	"2000"	22673	2267886	999.7
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2001"	"2001"	23060	2272462	1014.8
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2002"	"2002"	23341	2273567	1026.6
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2003"	"2003"	23748	2279142	1042.0
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2004"	"2004"	23316	2288466	1018.8
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2005"	"2005"	23838	2301872	1035.6
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2006"	"2006"	23540	2325116	1012.4
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2007"	"2007"	23135	2340898	988.3
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2008"	"2008"	23937	2357998	1015.1
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2009"	"2009"	23463	2370425	989.8
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2010"	"2010"	23894	2377729	1004.9
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2011"	"2011"	23956	2385872	1004.1
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2012"	"2012"	24425	2393110	1020.6
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2013"	"2013"	24293	2398791	1012.7
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2014"	"2014"	24615	2404894	1023.5
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2015"	"2015"	25157	2408814	1044.4
	"Alabama"	"01"	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"2016"	"2016"	25483	2412561	1056.3
	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	"2001"	"2001"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	"2002"	"2002"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	"2009"	"2009"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	"2014"	"2014"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	"2015"	"2015"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"1999"	"1999"	50	37082	134.8
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2000"	"2000"	57	43120	132.2
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2001"	"2001"	76	48688	156.1
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2002"	"2002"	103	53376	193.0
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2003"	"2003"	96	58545	164.0
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2004"	"2004"	132	63893	206.6
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2005"	"2005"	168	70271	239.1
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2006"	"2006"	176	77478	227.2
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2007"	"2007"	170	84275	201.7
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2008"	"2008"	185	91450	202.3
	"Alabama"	"01"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"2009"	"2009"	149	98784	150.8
