"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1980"	"1980"	"Black or African American"	"2054-5"	"Female"	"F"	4745	534915	887.1
	"Alabama"	"01"	"1980"	"1980"	"Black or African American"	"2054-5"	"Male"	"M"	5662	464780	1218.2
	"Alabama"	"01"	"1980"	"1980"	"Other Race"	"2131-1"	"Female"	"F"	8	9816	81.5 (Unreliable)
	"Alabama"	"01"	"1980"	"1980"	"Other Race"	"2131-1"	"Male"	"M"	10	8364	119.6 (Unreliable)
	"Alabama"	"01"	"1980"	"1980"	"White"	"2106-3"	"Female"	"F"	11163	1479282	754.6
	"Alabama"	"01"	"1980"	"1980"	"White"	"2106-3"	"Male"	"M"	13954	1400960	996.0
	"Alabama"	"01"	"1981"	"1981"	"Black or African American"	"2054-5"	"Female"	"F"	4504	537910	837.3
	"Alabama"	"01"	"1981"	"1981"	"Black or African American"	"2054-5"	"Male"	"M"	5353	465658	1149.6
	"Alabama"	"01"	"1981"	"1981"	"Other Race"	"2131-1"	"Female"	"F"	8	11150	71.7 (Unreliable)
	"Alabama"	"01"	"1981"	"1981"	"Other Race"	"2131-1"	"Male"	"M"	11	9644	114.1 (Unreliable)
	"Alabama"	"01"	"1981"	"1981"	"White"	"2106-3"	"Female"	"F"	11444	1487956	769.1
	"Alabama"	"01"	"1981"	"1981"	"White"	"2106-3"	"Male"	"M"	14092	1407779	1001.0
	"Alabama"	"01"	"1982"	"1982"	"Black or African American"	"2054-5"	"Female"	"F"	4421	538572	820.9
	"Alabama"	"01"	"1982"	"1982"	"Black or African American"	"2054-5"	"Male"	"M"	5165	465187	1110.3
	"Alabama"	"01"	"1982"	"1982"	"Other Race"	"2131-1"	"Female"	"F"	10	12046	83.0 (Unreliable)
	"Alabama"	"01"	"1982"	"1982"	"Other Race"	"2131-1"	"Male"	"M"	9	10548	85.3 (Unreliable)
	"Alabama"	"01"	"1982"	"1982"	"White"	"2106-3"	"Female"	"F"	11419	1490542	766.1
	"Alabama"	"01"	"1982"	"1982"	"White"	"2106-3"	"Male"	"M"	13978	1409029	992.0
	"Alabama"	"01"	"1983"	"1983"	"Black or African American"	"2054-5"	"Female"	"F"	4614	538481	856.9
	"Alabama"	"01"	"1983"	"1983"	"Black or African American"	"2054-5"	"Male"	"M"	5262	464880	1131.9
	"Alabama"	"01"	"1983"	"1983"	"Other Race"	"2131-1"	"Female"	"F"	10	12893	77.6 (Unreliable)
	"Alabama"	"01"	"1983"	"1983"	"Other Race"	"2131-1"	"Male"	"M"	15	11438	131.1 (Unreliable)
	"Alabama"	"01"	"1983"	"1983"	"White"	"2106-3"	"Female"	"F"	11791	1493475	789.5
	"Alabama"	"01"	"1983"	"1983"	"White"	"2106-3"	"Male"	"M"	13868	1412671	981.7
	"Alabama"	"01"	"1984"	"1984"	"Black or African American"	"2054-5"	"Female"	"F"	4687	540294	867.5
	"Alabama"	"01"	"1984"	"1984"	"Black or African American"	"2054-5"	"Male"	"M"	5339	465384	1147.2
	"Alabama"	"01"	"1984"	"1984"	"Other Race"	"2131-1"	"Female"	"F"	5	13819	36.2 (Unreliable)
	"Alabama"	"01"	"1984"	"1984"	"Other Race"	"2131-1"	"Male"	"M"	8	12359	64.7 (Unreliable)
	"Alabama"	"01"	"1984"	"1984"	"White"	"2106-3"	"Female"	"F"	12251	1500866	816.3
	"Alabama"	"01"	"1984"	"1984"	"White"	"2106-3"	"Male"	"M"	14246	1419678	1003.5
	"Alabama"	"01"	"1985"	"1985"	"Black or African American"	"2054-5"	"Female"	"F"	4858	542097	896.1
	"Alabama"	"01"	"1985"	"1985"	"Black or African American"	"2054-5"	"Male"	"M"	5486	466015	1177.2
	"Alabama"	"01"	"1985"	"1985"	"Other Race"	"2131-1"	"Female"	"F"	11	14890	73.9 (Unreliable)
	"Alabama"	"01"	"1985"	"1985"	"Other Race"	"2131-1"	"Male"	"M"	8	13390	59.7 (Unreliable)
	"Alabama"	"01"	"1985"	"1985"	"White"	"2106-3"	"Female"	"F"	12711	1510696	841.4
	"Alabama"	"01"	"1985"	"1985"	"White"	"2106-3"	"Male"	"M"	14529	1427013	1018.1
	"Alabama"	"01"	"1986"	"1986"	"Black or African American"	"2054-5"	"Female"	"F"	4840	543995	889.7
	"Alabama"	"01"	"1986"	"1986"	"Black or African American"	"2054-5"	"Male"	"M"	5291	466887	1133.3
	"Alabama"	"01"	"1986"	"1986"	"Other Race"	"2131-1"	"Female"	"F"	12	15903	75.5 (Unreliable)
	"Alabama"	"01"	"1986"	"1986"	"Other Race"	"2131-1"	"Male"	"M"	14	14450	96.9 (Unreliable)
	"Alabama"	"01"	"1986"	"1986"	"White"	"2106-3"	"Female"	"F"	12703	1517598	837.0
	"Alabama"	"01"	"1986"	"1986"	"White"	"2106-3"	"Male"	"M"	14858	1434329	1035.9
	"Alabama"	"01"	"1987"	"1987"	"Black or African American"	"2054-5"	"Female"	"F"	4793	547155	876.0
	"Alabama"	"01"	"1987"	"1987"	"Black or African American"	"2054-5"	"Male"	"M"	5229	469085	1114.7
	"Alabama"	"01"	"1987"	"1987"	"Other Race"	"2131-1"	"Female"	"F"	16	16891	94.7 (Unreliable)
	"Alabama"	"01"	"1987"	"1987"	"Other Race"	"2131-1"	"Male"	"M"	13	15460	84.1 (Unreliable)
	"Alabama"	"01"	"1987"	"1987"	"White"	"2106-3"	"Female"	"F"	12837	1526142	841.1
	"Alabama"	"01"	"1987"	"1987"	"White"	"2106-3"	"Male"	"M"	14820	1442448	1027.4
	"Alabama"	"01"	"1988"	"1988"	"Black or African American"	"2054-5"	"Female"	"F"	4929	549119	897.6
	"Alabama"	"01"	"1988"	"1988"	"Black or African American"	"2054-5"	"Male"	"M"	5591	469981	1189.6
	"Alabama"	"01"	"1988"	"1988"	"Other Race"	"2131-1"	"Female"	"F"	35	18018	194.3
