"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1979"	"1979"	34457	3873403	889.6
	"Alabama"	"01"	"1980"	"1980"	35542	3898117	911.8
	"Alabama"	"01"	"1981"	"1981"	35412	3920097	903.3
	"Alabama"	"01"	"1982"	"1982"	35002	3925924	891.6
	"Alabama"	"01"	"1983"	"1983"	35560	3933838	904.0
	"Alabama"	"01"	"1984"	"1984"	36536	3952400	924.4
	"Alabama"	"01"	"1985"	"1985"	37603	3974101	946.2
	"Alabama"	"01"	"1986"	"1986"	37718	3993162	944.6
	"Alabama"	"01"	"1987"	"1987"	37708	4017181	938.7
	"Alabama"	"01"	"1988"	"1988"	39127	4027045	971.6
	"Alabama"	"01"	"1989"	"1989"	39006	4034980	966.7
	"Alabama"	"01"	"1990"	"1990"	39381	4043643	973.9
	"Alabama"	"01"	"1991"	"1991"	40063	4101607	976.8
	"Alabama"	"01"	"1992"	"1992"	39352	4155699	946.9
	"Alabama"	"01"	"1993"	"1993"	41272	4216208	978.9
	"Alabama"	"01"	"1994"	"1994"	41708	4262457	978.5
	"Alabama"	"01"	"1995"	"1995"	42362	4298981	985.4
	"Alabama"	"01"	"1996"	"1996"	42827	4334219	988.1
	"Alabama"	"01"	"1997"	"1997"	43258	4370490	989.8
	"Alabama"	"01"	"1998"	"1998"	43950	4408398	997.0
"Total"	"Alabama"	"01"			777844	81741950	951.6
	"Alaska"	"02"	"1979"	"1979"	1567	404735	387.2
	"Alaska"	"02"	"1980"	"1980"	1714	403594	424.7
	"Alaska"	"02"	"1981"	"1981"	1723	420161	410.1
	"Alaska"	"02"	"1982"	"1982"	1785	451672	395.2
	"Alaska"	"02"	"1983"	"1983"	1897	490111	387.1
	"Alaska"	"02"	"1984"	"1984"	1929	515014	374.6
	"Alaska"	"02"	"1985"	"1985"	2068	533411	387.7
	"Alaska"	"02"	"1986"	"1986"	2090	544113	384.1
	"Alaska"	"02"	"1987"	"1987"	2055	538774	381.4
	"Alaska"	"02"	"1988"	"1988"	2064	541504	381.2
	"Alaska"	"02"	"1989"	"1989"	2095	547442	382.7
	"Alaska"	"02"	"1990"	"1990"	2188	549982	397.8
	"Alaska"	"02"	"1991"	"1991"	2200	570440	385.7
	"Alaska"	"02"	"1992"	"1992"	2303	589389	390.7
	"Alaska"	"02"	"1993"	"1993"	2383	599884	397.2
	"Alaska"	"02"	"1994"	"1994"	2445	603918	404.9
	"Alaska"	"02"	"1995"	"1995"	2553	605068	421.9
	"Alaska"	"02"	"1996"	"1996"	2582	609231	423.8
	"Alaska"	"02"	"1997"	"1997"	2575	613530	419.7
	"Alaska"	"02"	"1998"	"1998"	2571	620503	414.3
"Total"	"Alaska"	"02"			42787	10752476	397.9
	"Arizona"	"04"	"1979"	"1979"	19782	2643879	748.2
	"Arizona"	"04"	"1980"	"1980"	21367	2725485	784.0
	"Arizona"	"04"	"1981"	"1981"	21358	2816864	758.2
	"Arizona"	"04"	"1982"	"1982"	21969	2896090	758.6
	"Arizona"	"04"	"1983"	"1983"	22593	2974479	759.6
	"Arizona"	"04"	"1984"	"1984"	23972	3072024	780.3
	"Arizona"	"04"	"1985"	"1985"	24619	3190632	771.6
	"Arizona"	"04"	"1986"	"1986"	25569	3315309	771.2
	"Arizona"	"04"	"1987"	"1987"	26969	3444621	782.9
	"Arizona"	"04"	"1988"	"1988"	27684	3543501	781.3
	"Arizona"	"04"	"1989"	"1989"	28212	3629959	777.2
	"Arizona"	"04"	"1990"	"1990"	28789	3670009	784.4
	"Arizona"	"04"	"1991"	"1991"	29548	3789418	779.8
	"Arizona"	"04"	"1992"	"1992"	31055	3917373	792.8
	"Arizona"	"04"	"1993"	"1993"	33321	4066852	819.3
	"Arizona"	"04"	"1994"	"1994"	34298	4247728	807.4
	"Arizona"	"04"	"1995"	"1995"	35342	4433841	797.1
	"Arizona"	"04"	"1996"	"1996"	36592	4589841	797.2
	"Arizona"	"04"	"1997"	"1997"	37066	4739994	782.0
	"Arizona"	"04"	"1998"	"1998"	38300	4886250	783.8
"Total"	"Arizona"	"04"			568405	72594149	783.0
	"Arkansas"	"05"	"1979"	"1979"	21550	2270804	949.0
	"Arkansas"	"05"	"1980"	"1980"	22744	2288599	993.8
