"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	44806	4430141	1011.4
	"Alabama"	"01"	"2000"	"2000"	45062	4447100	1013.3
	"Alabama"	"01"	"2001"	"2001"	45316	4467634	1014.3
	"Alabama"	"01"	"2002"	"2002"	46069	4480089	1028.3
	"Alabama"	"01"	"2003"	"2003"	46716	4503491	1037.3
	"Alabama"	"01"	"2004"	"2004"	46121	4530729	1018.0
	"Alabama"	"01"	"2005"	"2005"	47090	4569805	1030.5
	"Alabama"	"01"	"2006"	"2006"	46977	4628981	1014.8
	"Alabama"	"01"	"2007"	"2007"	46696	4672840	999.3
	"Alabama"	"01"	"2008"	"2008"	47707	4718206	1011.1
	"Alabama"	"01"	"2009"	"2009"	47470	4757938	997.7
	"Alabama"	"01"	"2010"	"2010"	48038	4779736	1005.0
	"Alabama"	"01"	"2011"	"2011"	48681	4799918	1014.2
	"Alabama"	"01"	"2012"	"2012"	49301	4815960	1023.7
	"Alabama"	"01"	"2013"	"2013"	50189	4829479	1039.2
	"Alabama"	"01"	"2014"	"2014"	50215	4843214	1036.8
	"Alabama"	"01"	"2015"	"2015"	51909	4853875	1069.4
	"Alabama"	"01"	"2016"	"2016"	52466	4863300	1078.8
"Total"	"Alabama"	"01"			860829	83992436	1024.9
	"Alaska"	"02"	"1999"	"1999"	2708	624779	433.4
	"Alaska"	"02"	"2000"	"2000"	2914	626932	464.8
	"Alaska"	"02"	"2001"	"2001"	2974	633714	469.3
	"Alaska"	"02"	"2002"	"2002"	3030	642337	471.7
	"Alaska"	"02"	"2003"	"2003"	3180	648414	490.4
	"Alaska"	"02"	"2004"	"2004"	3051	659286	462.8
	"Alaska"	"02"	"2005"	"2005"	3168	666946	475.0
	"Alaska"	"02"	"2006"	"2006"	3354	675302	496.7
	"Alaska"	"02"	"2007"	"2007"	3463	680300	509.0
	"Alaska"	"02"	"2008"	"2008"	3494	687455	508.3
	"Alaska"	"02"	"2009"	"2009"	3618	698895	517.7
	"Alaska"	"02"	"2010"	"2010"	3728	710231	524.9
	"Alaska"	"02"	"2011"	"2011"	3849	722713	532.6
	"Alaska"	"02"	"2012"	"2012"	3912	731089	535.1
	"Alaska"	"02"	"2013"	"2013"	3997	736879	542.4
	"Alaska"	"02"	"2014"	"2014"	4128	736705	560.3
	"Alaska"	"02"	"2015"	"2015"	4316	737709	585.1
	"Alaska"	"02"	"2016"	"2016"	4494	741894	605.7
"Total"	"Alaska"	"02"			63378	12361580	512.7
	"Arizona"	"04"	"1999"	"1999"	40050	5023823	797.2
	"Arizona"	"04"	"2000"	"2000"	40500	5130632	789.4
	"Arizona"	"04"	"2001"	"2001"	41058	5273477	778.6
	"Arizona"	"04"	"2002"	"2002"	42816	5396255	793.4
	"Arizona"	"04"	"2003"	"2003"	43392	5510364	787.5
	"Arizona"	"04"	"2004"	"2004"	43198	5652404	764.2
