State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Alabama,1999,1034.12846486819,882.794017402462,1055.42761786097,1038.96895466168
Alabama,2000,1013.95199421021,866.161858206332,1067.59261199247,1048.82060931889
Alabama,2001,1014.31085773668,880.645299341735,1050.13204969093,1065.06006231385
Alabama,2002,1015.62770271131,891.574330490358,1074.42396007749,1076.01529355672
Alabama,2003,1015.71098865548,879.135027854716,1082.43774458718,1098.55895910691
Alabama,2004,983.278876191194,874.783641000634,1075.91198494374,1067.54652530046
Alabama,2005,1005.31148146307,862.421729630402,1082.12409225434,1095.16899264952
Alabama,2006,997.9402318112,845.125248230833,1077.27532210839,1065.90308892911
Alabama,2007,969.197079283499,816.448089815306,1081.90844828268,1044.17154928549
Alabama,2008,961.139785863584,816.963847975493,1082.82108216907,1078.34411813894
Alabama,2009,945.228385198284,794.298732953524,1090.23675817977,1052.02268452981
Alabama,2010,922.686452568988,802.428529359625,1101.88773014234,1066.4322698175
Alabama,2011,948.017169496349,793.377327465511,1121.15374528531,1070.56593743138
Alabama,2012,930.944366209972,785.584992119591,1133.56996521988,1095.65062873996
Alabama,2013,968.865272854737,793.407028713642,1176.46078156436,1083.82698194851
Alabama,2014,924.307746431846,805.21040311871,1170.85413979083,1095.4767042092
Alabama,2015,992.827243852675,801.530181092225,1213.33483385048,1125.43163515109
Alabama,2016,998.54037177021,820.236352198064,1220.5206172485,1130.14370416305
Alaska,1999,266.187050359712,267.50590086546,460.300145444929,362.66792706648
Alaska,2000,308.509111780743,338.289670364251,490.609110719104,407.992467831363
Alaska,2001,360.060933388727,232.468035645099,509.032550100819,402.612224194776
Alaska,2002,322.77587250353,301.068794219479,513.982940487043,400.035877657189
Alaska,2003,284.206252537556,298.107020420331,529.520676425189,419.199515829009
Alaska,2004,396.196513470682,273.688882313781,502.953505717556,394.736264363526
Alaska,2005,331.836814366582,238.770332786151,499.289548468582,407.705858754993
Alaska,2006,284.495021337127,249.779606229797,525.67652537971,451.481869574779
Alaska,2007,378.381787223308,262.104113578449,543.252608582615,449.064484800564
Alaska,2008,355.740922473013,312.250381235931,546.059882263038,450.859330176319
Alaska,2009,344.170610288243,237.728988952594,551.648838292446,457.286960176526
Alaska,2010,352.092013379497,278.493350971246,573.560113439939,456.792128351509
Alaska,2011,340.686958950014,287.760155256642,587.528424321976,456.16916444262
Alaska,2012,403.525538918976,315.823396712859,576.151294691125,474.255019301076
Alaska,2013,405.919227212003,309.96963562753,578.810655063775,484.365419987738
Alaska,2014,398.182653530042,266.853040218565,626.027247160232,486.063706420811
Alaska,2015,436.039142118339,353.870458135861,621.404417899961,523.571010091842
Alaska,2016,407.129735365672,263.852242744063,653.931819927365,532.896254077027
Arizona,1999,605.138825965957,509.933696842651,885.868390531625,785.300611356056
Arizona,2000,589.714953709986,517.779377978946,864.388335000495,789.417818613734
Arizona,2001,568.338520940861,521.164906071625,855.41364440532,775.105281142455
Arizona,2002,538.798152156598,405.306955888238,881.661656190216,796.003566270186
Arizona,2003,571.192869504398,507.455695214302,869.83902399516,788.735402726604
Arizona,2004,519.67146623403,469.561374433764,849.55491904258,769.773985782426
Arizona,2005,502.901353965184,486.216701457791,873.025971639027,792.851474621114
Arizona,2006,565.9313707546,423.698441395019,853.942713944089,785.67317906479
Arizona,2007,488.931797807048,442.607113168123,826.37062837107,749.118410766657
Arizona,2008,480.665757945333,421.833418266236,821.108637337268,735.837357186206
Arizona,2009,446.531728733536,438.818907753369,810.351222174792,729.775388806109
Arizona,2010,470.882066276803,411.511795574108,824.225673245932,735.253970693256
Arizona,2011,466.303527636295,430.877417292632,840.459382878967,762.325791251491
Arizona,2012,482.130295283359,461.762248150785,862.1120271276,758.368107995652
Arizona,2013,524.501806802933,439.400587871101,861.007821287169,773.845648595031
Arizona,2014,491.917344940857,445.74015560172,873.205960582879,770.271749232595
Arizona,2015,534.575644796086,455.816554809843,911.473509409595,797.167639998641
Arizona,2016,588.46271646842,464.352242042935,943.87446033795,804.890342703805
Arkansas,1999,1019.52462224536,898.775368480095,1112.54868099082,1063.82692330126
Arkansas,2000,998.021893700454,905.105988000018,1110.33920821239,1075.85025363725
