State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Alabama,1980,1218.2107663841,887.056822111924,996.031292827775,754.622850815463
Alabama,1981,1149.55611199636,837.314792437397,1001.00939138885,769.108763968827
Alabama,1982,1110.30617794564,820.874460610652,992.030682122227,766.097164655542
Alabama,1983,1131.90500774393,856.85474510707,981.686464859829,789.500995999264
Alabama,1984,1147.22465748715,867.490662491162,1003.4669833582,816.262078026953
Alabama,1985,1177.21532568694,896.149582085863,1018.14068967837,841.400255246589
Alabama,1986,1133.25065808215,889.714059871874,1035.88507239274,837.04643785772
Alabama,1987,1114.72334438321,875.985780994417,1027.42005257729,841.140601595396
Alabama,1988,1189.62255920984,897.619641644161,1038.23132546794,885.800623207885
Alabama,1989,1168.54486218307,896.412534892754,1035.26597270958,885.914707752718
Alabama,1990,1181.65503913011,912.230804163478,1041.5774865712,889.292101312122
Alabama,1991,1168.40064216167,895.821810246551,1050.80265481719,899.117693662312
Alabama,1992,1121.79356386756,870.895548484107,1021.02353010143,871.16469726086
Alabama,1993,1111.62815778489,893.487798967823,1018.57224224294,953.046692354385
Alabama,1994,1096.27908710778,876.332261884622,1034.85957314351,948.015770040051
Alabama,1995,1121.00978050524,863.207933228327,1039.41638714104,961.721458398379
Alabama,1996,1075.87454325629,860.777329060041,1049.26885776527,975.630261971129
Alabama,1997,1047.15210943647,857.724744771404,1051.40978334997,989.155992365661
Alabama,1998,1023.78350870366,870.789555692264,1056.01745174812,1006.38677934842
Alaska,1980,453.367875647668,199.468085106383,471.090305115201,242.078210926746
Alaska,1981,359.841669665347,214.395099540582,429.515730942722,266.671870020228
Alaska,1982,272.92576419214,332.225913621262,432.486666314622,244.419097278801
Alaska,1983,308.334991048339,358.378645575877,428.092210477045,256.777771013996
Alaska,1984,374.111485222596,162.450684613599,404.186817934745,239.637646810976
Alaska,1985,361.935028248588,273.074822501365,423.281374271502,253.799361178361
Alaska,1986,289.386330751553,199.747687132044,417.161448102026,278.871473354232
Alaska,1987,271.554650373388,240.938613031636,417.721064627865,256.187803010972
Alaska,1988,266.378090402064,204.540805890775,416.112449221699,265.533450550802
Alaska,1989,242.895312120476,247.991270707271,410.317839886649,269.031283182227
Alaska,1990,240.442414041837,284.090909090909,436.303288781028,274.406386184988
Alaska,1991,237.887558480691,181.818181818182,415.277030661646,275.313401688132
Alaska,1992,245.17087667162,256.478287786327,411.065808088607,289.703398901125
Alaska,1993,334.634690462911,261.887224813815,427.495167445933,292.216624921435
