"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2003"	"2003"	"Black or African American"	"2054-5"	"Male"	"M"	11	3303059	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2004"	"2004"	"Black or African American"	"2054-5"	"Male"	"M"	16	3324658	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"Black or African American"	"2054-5"	"Male"	"M"	20	3347579	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"Black or African American"	"2054-5"	"Male"	"M"	23	3372310	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"Black or African American"	"2054-5"	"Male"	"M"	35	3401460	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2008"	"2008"	"Black or African American"	"2054-5"	"Male"	"M"	41	3437306	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	51	3477179	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"Black or African American"	"2054-5"	"Male"	"M"	56	3508921	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"Black or African American"	"2054-5"	"Male"	"M"	94	3551546	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"Black or African American"	"2054-5"	"Male"	"M"	70	3594914	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"Black or African American"	"2054-5"	"Male"	"M"	80	3638549	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"Black or African American"	"2054-5"	"Male"	"M"	56	3693590	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"Black or African American"	"2054-5"	"Male"	"M"	60	3732849	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2016"	"2016"	"Black or African American"	"2054-5"	"Male"	"M"	69	3760839	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"Black or African American"	"2054-5"	"Male"	"M"	59	3802988	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	"Black or African American"	"2054-5"	"Male"	"M"	54	3793231	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2019"	"2019"	"Black or African American"	"2054-5"	"Male"	"M"	59	3797834	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Male"	"M"	60	3831098	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	"Black or African American"	"2054-5"	"Male"	"M"	28	3166928	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2000"	"2000"	"Black or African American"	"2054-5"	"Male"	"M"	33	3199210	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	"Black or African American"	"2054-5"	"Male"	"M"	19	3241467	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	"Black or African American"	"2054-5"	"Male"	"M"	24	3273969	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2003"	"2003"	"Black or African American"	"2054-5"	"Male"	"M"	21	3303059	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2004"	"2004"	"Black or African American"	"2054-5"	"Male"	"M"	19	3324658	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2006"	"2006"	"Black or African American"	"2054-5"	"Male"	"M"	15	3372310	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2007"	"2007"	"Black or African American"	"2054-5"	"Male"	"M"	11	3401460	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2008"	"2008"	"Black or African American"	"2054-5"	"Male"	"M"	10	3437306	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2009"	"2009"	"Black or African American"	"2054-5"	"Male"	"M"	13	3477179	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2010"	"2010"	"Black or African American"	"2054-5"	"Male"	"M"	12	3508921	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2012"	"2012"	"Black or African American"	"2054-5"	"Male"	"M"	10	3594914	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	"Black or African American"	"2054-5"	"Male"	"M"	10	3693590	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2016"	"2016"	"Black or African American"	"2054-5"	"Male"	"M"	15	3760839	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2018"	"2018"	"Black or African American"	"2054-5"	"Male"	"M"	10	3793231	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"1999"	"1999"	"Black or African American"	"2054-5"	"Male"	"M"	16	3166928	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2000"	"2000"	"Black or African American"	"2054-5"	"Male"	"M"	30	3199210	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2001"	"2001"	"Black or African American"	"2054-5"	"Male"	"M"	14	3241467	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2002"	"2002"	"Black or African American"	"2054-5"	"Male"	"M"	19	3273969	Unreliable
