"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	10	3677182	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	26	3708651	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	24	3737636	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	27	3759294	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	38	3777243	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	54	3801357	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	62	3826880	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	61	3863355	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	100	3908465	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	81	3942465	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	115	3975439	2.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	86	4013131	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	98	4047969	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	107	4100002	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	90	4130918	2.2
