"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	11	3303059	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	16	3324658	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	20	3347579	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	23	3372310	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	35	3401460	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	41	3437306	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	51	3477179	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	56	3508921	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	94	3551546	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	70	3594914	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	80	3638549	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	56	3693590	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	60	3732849	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	69	3760839	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	59	3802988	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	54	3793231	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	59	3797834	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	60	3831098	1.6
