"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2002"	"2002"	11	2838316	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2004"	"2004"	17	2993098	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2005"	"2005"	21	3063359	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2006"	"2006"	32	3141259	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2007"	"2007"	21	3227239	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2008"	"2008"	31	3326597	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2009"	"2009"	44	3433000	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2010"	"2010"	51	3513004	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2011"	"2011"	80	3606372	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2012"	"2012"	64	3693320	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2013"	"2013"	71	3777273	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2014"	"2014"	35	3878785	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2015"	"2015"	52	3964324	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"2016"	"2016"	44	4020768	1.1
