"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2006"	"2006"	22	3112991	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2007"	"2007"	19	3199084	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2008"	"2008"	27	3296848	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2009"	"2009"	38	3401231	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2010"	"2010"	43	3478965	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2011"	"2011"	33	3585797	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2012"	"2012"	49	3674026	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2013"	"2013"	43	3767371	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2014"	"2014"	26	3857273	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2015"	"2015"	31	3940174	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2016"	"2016"	39	3994027	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2017"	"2017"	25	4101270	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"2018"	"2018"	37	4111823	0.9
