"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	10	8161	122.5 (Unreliable)
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	10	351	2849.0 (Unreliable)
	"Alabama"	"01"	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	10	9082	110.1 (Unreliable)
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	12	5064	237.0 (Unreliable)
	"Alabama"	"01"	"2001"	"2001"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	14	6258	223.7 (Unreliable)
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	13	166	7831.3 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	11	6489	169.5 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	15	11896	126.1 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	11	473	2325.6 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	12	372	3225.8 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	13	177	7344.6 (Unreliable)
	"Alabama"	"01"	"2003"	"2003"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	11	1437	765.5 (Unreliable)
	"Alabama"	"01"	"2003"	"2003"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	11	6852	160.5 (Unreliable)
	"Alabama"	"01"	"2003"	"2003"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	28	13102	213.7
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	10	1617	618.4 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	13	1651	787.4 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	13	4321	300.9 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	16	6901	231.9 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	27	14332	188.4
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	15	7652	196.0 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	10	898	1113.6 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	12	524	2290.1 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	13	429	3030.3 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	14	1971	710.3 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	17	1948	872.7 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	21	7288	288.1
	"Alabama"	"01"	"2005"	"2005"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	31	15586	198.9
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	22	8426	261.1
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	11	4369	251.8 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	10	2062	485.0 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	11	548	2007.3 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	16	445	3595.5 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	16	199	8040.2 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	12	2239	536.0 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	21	2359	890.2
	"Alabama"	"01"	"2006"	"2006"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	17	7875	215.9 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	38	16938	224.3
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	18	9170	196.3 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	15	4844	309.7 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	10	2265	441.5 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	13	992	1310.5 (Unreliable)
	"Alabama"	"01"	"2006"	"2006"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	10	606	1650.2 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	18	2506	718.3 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	18	2728	659.8 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	31	8507	364.4
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	41	17787	230.5
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	15	10129	148.1 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	10	4204	237.9 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	10	5259	190.2 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	10	1047	955.1 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	12	622	1929.3 (Unreliable)
	"Alabama"	"01"	"2007"	"2007"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	11	216	5092.6 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	20	2716	736.4
	"Alabama"	"01"	"2008"	"2008"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	26	2820	922.0
	"Alabama"	"01"	"2008"	"2008"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	25	9000	277.8
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	40	19094	209.5
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	14	10920	128.2 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	10	4608	217.0 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	16	5834	274.3 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	10	2300	434.8 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	18	2732	658.9 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	10	1151	868.8 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	10	1094	914.1 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	13	649	2003.1 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	12	552	2173.9 (Unreliable)
	"Alabama"	"01"	"2008"	"2008"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	10	224	4464.3 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	15	2396	626.0 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	10	2541	393.5 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	15	10072	148.9 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	20	19955	100.2
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	15	11933	125.7 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	11	4974	221.1 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	16	6345	252.2 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	14	2444	572.8 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	14	2935	477.0 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	10	1228	814.3 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	14	665	2105.3 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	11	566	1943.5 (Unreliable)
	"Alabama"	"01"	"2009"	"2009"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	17	241	7053.9 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	16	2205	725.6 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	16	2245	712.7 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	17	10712	158.7 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	22	20773	105.9
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	20	12409	161.2
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	24	6753	355.4
	"Alabama"	"01"	"2010"	"2010"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	16	3162	506.0 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	13	1348	964.4 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	13	1284	1012.5 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	13	699	1859.8 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	15	587	2555.4 (Unreliable)
	"Alabama"	"01"	"2010"	"2010"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	19	241	7883.8 (Unreliable)
