State,Year,black_male_mortality,black_female_mortality,hispanic_male_mortality,hispanic_female_mortality,white_male_mortality,white_female_mrtality
Alabama,1980,145.249616673897,121.725438205164,,,357.96770594623,286.369034074657
Alabama,1981,136.552743465277,114.895116115749,,,359.480900600164,291.931551693746
Alabama,1982,131.561385294265,112.610432601344,,,356.043570889299,290.861463441473
Alabama,1983,133.762498608229,117.290035837775,,,352.531039661521,299.732729207456
Alabama,1984,135.08248153021,118.586175488311,,,360.439226798907,309.963566440644
Alabama,1985,138.043799088146,122.241483042328,,,365.592117563192,319.845922385969
Alabama,1986,132.501511333625,121.20720371475,,,372.086081155736,318.11882412985
Alabama,1987,130.165904896991,119.312522886074,,,368.915416059172,319.552442371902
Alabama,1988,138.836293113188,122.397440306726,,,372.580887474563,336.152190998611
Alabama,1989,136.35755319729,122.404572017705,,,371.079906220105,335.937228932981
Alabama,1990,137.598695038113,124.689543562575,,,373.079423678104,337.195939404146
Alabama,1991,136.629374779202,122.805524761392,,,375.852684082117,340.330021867039
Alabama,1992,132.30024599953,119.859498967562,,,364.631798405034,328.681167716911
Alabama,1993,132.014359822855,123.309855680744,,,363.075066505258,358.616083456983
Alabama,1994,131.074636060845,121.526152639194,,,368.144476296183,355.686872618304
Alabama,1995,134.613295569345,120.214534560632,,,369.343339735626,359.689889301674
Alabama,1996,129.550444959057,120.090839895261,,,372.616150683664,364.125578333721
Alabama,1997,126.667719180229,120.261114886432,,,372.864369899027,368.0822974083
Alabama,1998,124.126723585302,122.334689381494,,,374.67125245951,373.559737573604
Alabama,1999,125.865068403015,124.239837964525,1.12863224895099,0.835187864223735,374.186735817212,384.773306312372
Alabama,2000,123.496211013919,121.92215151447,1.28173416383711,0.697083492613164,378.111578331947,387.533448764363
Alabama,2001,124.092528618056,124.361127164848,1.70112412968475,1.25345988503087,371.404640577093,392.288177590197
Alabama,2002,124.506455117298,126.046603092037,2.29906146953777,1.58478994502118,379.70227823599,395.438572760497
Alabama,2003,124.792077967959,124.325773050285,2.13167962365196,1.24347978046364,382.39223748865,402.709808901583
Alabama,2004,120.9518379934,123.931490936668,2.91343843341767,1.39050470685843,379.541570462502,390.555250600952
Alabama,2005,123.92213672137,122.215280520722,3.6763056629331,1.99133223408876,381.416712529309,399.820123615778
Alabama,2006,123.504503474955,120.069622234354,3.80213269399896,1.46900581359051,379.133118066374,388.011962027928
Alabama,2007,120.098270002825,116.160621806011,3.63804452966504,1.99022436034617,380.432456493267,379.319642872429
Alabama,2008,119.388598123948,116.548535608661,3.92098183080603,1.97108816359438,380.14448712074,390.847707794022
Alabama,2009,117.740079841309,113.284368144352,3.13160869267317,2.26989086448794,382.455593158213,380.332824849756
Alabama,2010,115.152803418432,114.58791866329,3.41023018844555,1.90387084140212,385.941817707087,385.063108087978
Alabama,2011,118.668693923521,113.689442194638,3.87506619904757,2.31253950588323,391.881694645617,385.985760590077
