State,Year,black_male_mortality,black_male_mortality_weighted,black_female_mortality,black_female_mortality_weighted,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_female_mortality,hispanic_female_mortality_weighted,white_female_mortality,white_female_mortality_weighted,white_male_mortality,white_male_mortality_weighted
Alabama,1980,145.249616673897,17.3183916331125,121.725438205164,16.7036450618377,,,,,286.369034074657,108.67312537413,357.96770594623,128.651458466339
Alabama,1981,136.552743465277,16.2207408175241,114.895116115749,15.7657404676013,,,,,291.931551693746,110.808815172691,359.480900600164,129.09620929431
Alabama,1982,131.561385294265,15.5888514756992,112.610432601344,15.4482934226366,,,,,290.861463441473,110.430366823448,356.043570889299,127.785386738658
Alabama,1983,133.762498608229,15.8073388769425,117.290035837775,16.0551745618301,,,,,299.732729207456,113.793028018212,352.531039661521,126.5965645585
Alabama,1984,135.08248153021,15.9055828318123,118.586175488311,16.2107577925517,,,,,309.963566440644,117.704123598194,360.439226798907,129.467574289905
Alabama,1985,138.043799088146,16.1874298192377,122.241483042328,16.6746494950171,,,,,319.845922385969,121.584719554131,365.592117563192,131.276156408759
Alabama,1986,132.501511333625,15.4922923542852,121.20720371475,16.5122558976585,,,,,318.11882412985,120.900802737733,372.086081155736,133.651942169645
Alabama,1987,130.165904896991,15.199433010015,119.312522886074,16.2508095751049,,,,,319.552442371902,121.399161129742,368.915416059172,132.466349926409
Alabama,1988,138.836293113188,16.2030520825145,122.397440306726,16.6898457861258,,,,,336.152190998611,127.566285857814,372.580887474563,133.704805765484
Alabama,1989,136.35755319729,15.9115690939034,122.404572017705,16.7142678929965,,,,,335.937228932981,127.386779783174,371.079906220105,133.009584425848
Alabama,1990,137.598695038113,16.0227818180589,124.689543562575,17.0433646867476,,,,,337.195939404146,127.855742092933,373.079423678104,133.632166753319
Alabama,1991,136.629374779202,15.9770419314549,122.805524761392,16.8350410086245,,,,,340.330021867039,128.820202961683,375.852684082117,134.43555693748
Alabama,1992,132.30024599953,15.6030090163743,119.859498967562,16.4960074922432,,,,,328.681167716911,124.007906141545,364.631798405034,130.218691820825
Alabama,1993,132.014359822855,15.6777165794055,123.309855680744,17.0179386059569,,,,,358.616083456983,134.941442371855,363.075066505258,129.419886435858
Alabama,1994,131.074636060845,15.6717029637124,121.526152639194,16.8527468605613,,,,,355.686872618304,133.450471343578,368.144476296183,130.964972393019
