State,Year,Gender.Code,Race,Group_Population,Group_Deaths,State_Population,State_Deaths,population_proportion,deaths_proportion,black_male_mortality,black_male_mortality_weighted,black_male_mortality_weighted_2,black_female_mortality,black_female_mortality_weighted,black_female_mortality_weighted2,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_male_mortality_weighted2,hispanic_female_mortality,hispanic_female_mortality_weighted,hispanic_female_mortality_weighted2,white_male_mortality,white_male_mortality_weighted,white_male_mortlaity_weighted2,white_female_mortality,white_female_mortality_weighted,white_female_mortality_weighted2
Alabama,1980,M,Black or African American,464780,5662,3898117,35542,0.119231926594302,0.159304484834843,145.249616673897,1218.2107663841,23.1389153566936,,,,,,,,,,,,,,,
Alabama,1981,M,Black or African American,465658,5353,3920097,35412,0.11878736674118,0.151163447418954,136.552743465277,1149.55611199636,20.6417834567272,,,,,,,,,,,,,,,
Alabama,1982,M,Black or African American,465187,5165,3925924,35002,0.11849108642959,0.147562996400206,131.561385294265,1110.30617794564,19.4135922245836,,,,,,,,,,,,,,,
Alabama,1983,M,Black or African American,464880,5262,3933838,35560,0.11817466809767,0.147975253093363,133.762498608229,1131.90500774393,19.7935395859534,,,,,,,,,,,,,,,
Alabama,1984,M,Black or African American,465384,5339,3952400,36536,0.1177471915798,0.146129844536895,135.08248153021,1147.22465748715,19.7395820256675,,,,,,,,,,,,,,,
Alabama,1985,M,Black or African American,466015,5486,3974101,37603,0.117262998600187,0.145892614950935,138.043799088146,1177.21532568694,20.1395708267311,,,,,,,,,,,,,,,
Alabama,1986,M,Black or African American,466887,5291,3993162,37718,0.116921627522249,0.140277851423723,132.501511333625,1133.25065808215,18.587027320277,,,,,,,,,,,,,,,
Alabama,1987,M,Black or African American,469085,5229,4017181,37708,0.11676969496769,0.138670839079241,130.165904896991,1114.72334438321,18.0502152515744,,,,,,,,,,,,,,,
Alabama,1988,M,Black or African American,469981,5591,4027045,39127,0.116706170405347,0.142893653998518,138.836293113188,1189.62255920984,19.8388252305527,,,,,,,,,,,,,,,
Alabama,1989,M,Black or African American,470842,5502,4034980,39006,0.116690045551651,0.141055222273496,136.35755319729,1168.54486218307,19.2339449749138,,,,,,,,,,,,,,,
